atps	4	0
mbh	-1	0
mbs	-2	0
TreABC	0	0
MalABC	0	0
gly-t	-1	-1
chiABC	0	0
mobdabc	0	0
ser-t	-1	-1
metdppABC	0	0
betaineABC	0	0
fe3abc	3	0
so4ABC	0	0
btnt2i	1	1
MaltodextrinABC	0	0
glut4	1	0
TrkHG	2	1
zn2t4	0	1
fedcabc	3	0
polya-t	0	0
glut2r	1	1
ala-t	-1	-1
thr-t	-1	-1
aspdppABC	0	0
R10531	0	0
prodppABC	0	0
PstABCS	0	0
PiT1	1	1
cholABC	0	0
daunoABC	0	0
oleABC	0	0
metABC	0	0
triTTT	1	0
FeoB	2	0
inoABC	0	0
mnABC	2	0
rft	0	0
coABC	-2	0
mrp	-1	-2
gluABC	0	0
thiABC	1	0
tigMOP	1	0
moxMOP	-1	0
quinoMFS	1	1
nss	1	0
gtpABC	0	0
AI-2E	0	0
chol	1	1
cellobioseABC	0	0
cellotrioseABC	0	0
cellotetraoseABC	0	0
cellopentaoseABC	0	0
laminaribioseABC	0	0
sophoroseABC	0	0
gentiobioseABC	0	0
artABC	0	0
uaABC	1	1
eth	1	1
corABC	0	0
alaAGCS	1	0
sulTDT	0	0
metDMT	1	1
fruMFS	1	1
galacDMT	1	1
proSSS	1	0
colMFS	1	1
tetraRND	1	1
cuABC	2	0
cuagPATP	0	0
entABC	0	0
cirpoMOP	1	0
auxAEC	1	1
ampABC	0	0
niABC	2	0
hopABC	0	0
lacMFS	1	1
manABC	0	0
cycloABC	0	0
betaABC	0	0
cytoNCS	1	1
sucMFS	1	1
TP_14BD	0	0
Rnf_H	-1	-1
CODH	-1	0
XylABC	0	0
