R03656
metdpd
nn5hbprt
R03658
R03648
R03660
R03661
R03662
R03646
R03038
R09395
R02918
R03650
R03651
R04710
R03657
R03654
R02421_zws
R04125
R03425
R03665
R04190
R07268
R03613
rsr
atih
R09735
R03655
R04481
R03659
R11889
cdggipt
gdgts3
glmA
aspdpd
R03663
R03664
cblat2
adocbls2
R04316
R00135
rz5pp2
R02112_zws
R03905
R02110_zws
R05577
cdgggpp3
R10806
R05578
R00292_zws
atgh
R05743
R02002
acs9
R11143
R10455
acs9G
ics
R03913
R11372
icsG
R05220
R01821_zws
R03647
R03914
R10930
R10931
R10932
R10933
R09775
R09776
R09777
R09778
R09779
R03527
R01206_zws
R02334_zws
R10929
R11719
R04858
R05196_zws
R02111_zws
ros
chiABC
metdppABC
PullulanAPU
StarchAPU
polya-t
aspdppABC
prodppABC
corABC
colMFS
dna_met
rna_met
pro_met
lps_core_met
carb_met
pla_met
trace_met
Biomass_Pfu
sink_biomass
GAM_biomass
sink_cDPG
sink_trehalose
sink_DIP
sink_MG
asp_ionization
sink_asp
glu_ionization
sink_ala
sink_C19787[c]
sink_C21615[c]
sink_C05382[c]
sink_C02086
xor1
xor2
dggpgp
polyas
4HBCoA-R
14BD-Syn
TP_14BD
EQ1
EQ2
EQ3
TP_urea
TP_CO2
TP_NH3
TP_H2
TP_H2S
TP_H2O
TP_NH4
TP_ace
TP_uracil
TP_ETOH
TP_C02632
TP_C00954
TP_C07086
TP_suc
TP_acetoin
TP_C03044
TP_iaa
TP_C01845
TP_Mg
TP_Cl
TP_sulfur
TP_Cys
TP_Pyr
3HPt
TP_propanol
TP_4HB
TP_Acetone
TP_CO
R09959
R09394_zws
R01230
R01231
R02869_H
R03298
R03024
R10061
thzpsn
R04208
R09365
R07302_yz
R04463
R01009
adk2
Thi4
R01920_H
R09978
R03472
R09670
R03459
R01078_zws
R11160
R11225
R10463
R10338_H
R11581
R08240
R11159_H
R09726
R05222
R00177
R05225
R05226
R04983
R04990
R06859
R01071
R04035
R04037
R04558
R05287
R04929
R00143
R00864
caMscS
R02135
R02133
R00150
vitamin_convert
salt_convert
yeast_extract_convert
trace_mineral_convert
nh4
R07405
TP_propionate
